Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
ANTI,0.0,ANTI 1,ANTI-0025,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Calling,50 - 100 Meters,False,0,American Goldfinch,Spinus tristis,179236.0,95300.0,AMGO,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True
ANTI,0.0,ANTI 1,ANTI-0025,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Visualization,0,True,0,Cedar Waxwing,Bombycilla cedrorum,178532.0,88296.0,CEDW,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True
ANTI,0.0,ANTI 1,ANTI-0025,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True
ANTI,0.0,ANTI 1,ANTI-0025,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,94257.0,INBU,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False
ANTI,0.0,ANTI 1,ANTI-0025,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,5 - 7.5 min,Visualization,0,True,0,Red-winged Blackbird,Agelaius phoeniceus,179045.0,93613.0,RWBL,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False
ANTI,0.0,ANTI 1,ANTI-0025,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,2.5 - 5 min,Singing,50 - 100 Meters,False,0,Northern Mockingbird,Mimus polyglottos,178620.0,88394.0,NOMO,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Calling,50 - 100 Meters,False,0,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,5 - 7.5 min,Singing,<= 50 Meters,False,0,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,7.5 - 10 min,Visualization,<= 50 Meters,False,Male,Pileated Woodpecker,Dryocopus pileatus,178166.0,84833.0,PIWO,False,False,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,7.5 - 10 min,Visualization,<= 50 Meters,False,Undetermined,Pileated Woodpecker,Dryocopus pileatus,178166.0,84833.0,PIWO,False,False,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,<= 50 Meters,False,0,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Calling,<= 50 Meters,False,0,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,5 - 7.5 min,Visualization,<= 50 Meters,False,Undetermined,Brown-headed Cowbird,Molothrus ater,179112.0,94215.0,BHCO,False,False,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,5 - 7.5 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,2.5 - 5 min,Singing,50 - 100 Meters,False,0,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,5 - 7.5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,85846.0,EAWP,False,True,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,<= 50 Meters,False,0,Cedar Waxwing,Bombycilla cedrorum,178532.0,88296.0,CEDW,False,False,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Calling,<= 50 Meters,False,0,Blue-gray Gnatcatcher,Polioptila caerulea,179853.0,88038.0,BGGN,False,False,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True
ANTI,0.0,ANTI 1,ANTI-0052,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,5 - 7.5 min,Visualization,<= 50 Meters,False,Male,Brown-headed Cowbird,Molothrus ater,179112.0,94215.0,BHCO,False,False,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False
ANTI,0.0,ANTI 1,ANTI-0072,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,<= 50 Meters,False,0,Cedar Waxwing,Bombycilla cedrorum,178532.0,88296.0,CEDW,False,False,26.10000038,61.20000076,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True
ANTI,0.0,ANTI 1,ANTI-0072,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,50 - 100 Meters,False,0,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,26.10000038,61.20000076,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True
ANTI,0.0,ANTI 1,ANTI-0072,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,5 - 7.5 min,Singing,50 - 100 Meters,False,0,Carolina Chickadee,Poecile carolinensis,554383.0,265876.0,CACH,False,True,26.10000038,61.20000076,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False
ANTI,0.0,ANTI 1,ANTI-0072,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Calling,<= 50 Meters,False,0,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,26.10000038,61.20000076,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True
ANTI,0.0,ANTI 1,ANTI-0072,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,50 - 100 Meters,False,0,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,26.10000038,61.20000076,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True
ANTI,0.0,ANTI 1,ANTI-0072,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Calling,50 - 100 Meters,False,0,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,84865.0,RBWO,False,False,26.10000038,61.20000076,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True
ANTI,0.0,ANTI 1,ANTI-0072,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Red-eyed Vireo,Vireo olivaceus,179021.0,93587.0,REVI,False,False,26.10000038,61.20000076,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False
ANTI,0.0,ANTI 1,ANTI-0072,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Calling,50 - 100 Meters,False,0,Eastern Bluebird,Sialia sialis,179801.0,87184.0,EABL,False,False,26.10000038,61.20000076,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True
ANTI,0.0,ANTI 1,ANTI-0072,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,5 - 7.5 min,Calling,50 - 100 Meters,False,0,Unidentified Chickadee,Poecile,553526.0,263793.0,UNCH,False,False,26.10000038,61.20000076,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False
